Total Be Here;2002;222;333;126;3.7
There Significant Table;1980;152;237;111;6.3
Experience If Born;1981;986;214;98;3.7
Save Turn Health;1978;516;408;95;7.9
Civil Represent Toward;2008;258;570;122;9.9
Age Worry Series;2017;491;212;75;4.1
Investment For Bed;1988;423;795;136;6.1
Gas Dinner Soldier;1995;368;335;125;6.5
Everyone Box Sell;1989;591;287;122;1.7
System Hard Always;1971;580;542;136;5.7
With Fight Firm;1973;166;391;116;2.6
Total Program Provide;2009;408;71;102;3.0
Enter Stage All;2006;593;475;94;1.4
Dinner Concern Note;1993;206;126;105;9.2
Machine Director Wish;2019;164;962;118;3.0
Base Example Small;2015;804;717;77;2.5
Fear Again On;2008;316;802;101;4.8
Yeah Drive Project;1992;113;972;90;9.4
Including Ask International;1972;190;498;79;2.6
Statement Key Issue;1973;907;751;80;6.8
Foreign Early Five;2007;85;366;137;7.8
Employee Court List;1995;703;269;144;7.0
How Job Reduce;1989;722;642;90;6.6
Cold Just Moment;1997;804;599;69;7.4
Situation Analysis Information;1999;925;243;146;8.6
Have Decide Trade;2016;458;818;95;1.1
To Check Tax;1982;79;359;141;3.8
Decision Rate Better;1983;503;733;128;4.2
Require Buy Risk;1975;20;867;65;6.2
Get Improve Party;2000;178;246;87;9.1
Unit Believe Age;2006;142;12;110;2.4
Least Thank Standard;1982;922;981;127;5.1
Either Sense Lay;1997;755;323;108;6.1
Process Majority Many;2017;437;301;77;4.7
Class Change Might;1984;125;520;56;8.9
Major Rule Nice;2020;229;437;120;5.4
Letter More News;1993;933;276;86;1.1
No Line Great;2013;428;93;148;9.9
Learn Those Bed;2006;691;844;102;6.7
Under Fill Create;1977;312;167;73;1.6
Black Collection Collection;1999;570;292;69;1.0
Take Point Thank;1974;256;777;129;7.4
Sing Fight Bed;2022;241;845;74;3.9
Rate Successful Major;1995;64;899;116;7.9
Price Grow Soldier;2021;361;353;87;8.7
Poor Debate Operation;1984;13;6;78;8.5
Until Party Head;1974;502;295;136;6.4
South Difference Pass;2005;925;675;64;9.4
Less Still Month;2013;14;614;103;3.5
Start Western Boy;1986;644;249;60;5.8
World Happy Brother;2000;799;738;87;6.3
Eye Attack Dark;1987;280;753;114;8.8
Arrive Campaign Serious;1979;349;245;134;8.0
Song Change Vote;2016;82;624;88;5.6
Consider To Bed;1971;362;968;76;4.2
Eat For Record;1994;706;822;142;7.6
Community Design My;1992;373;927;59;3.6
Husband Others Artist;1992;705;313;64;8.2
Anything Character Sometimes;1981;885;527;72;5.9
Sometimes Image Several;2019;76;249;117;6.7
What Record Image;1984;645;366;80;7.7
Whole Government American;1970;144;76;123;7.8
Live Something Least;1982;871;925;98;3.9
Financial Else Player;2018;716;789;114;8.2
Yet History Consumer;2020;678;707;93;2.2
Kind About Spring;2005;271;556;80;6.9
Or Role Participant;1987;176;877;123;5.8
Piece Herself Yeah;1985;66;702;55;3.0
Long Defense Defense;1977;78;582;67;6.8
Administration Style Who;2017;196;328;96;1.9
Now Sit Republican;1996;551;280;56;7.1
Positive Practice Leave;2003;350;299;51;5.8
Respond Ten Church;1990;89;919;126;4.5
Worry Tell Available;2008;195;514;147;1.3
Society Loss Call;2001;427;156;104;6.2
Pretty Nor Policy;2017;588;871;125;1.4
Head Address Conference;2004;266;7;133;3.8
House Teacher Southern;2021;368;2;99;8.6
Old Determine Save;1976;965;249;137;8.1
Attack Entire Could;2003;618;666;78;1.6
Way Least Traditional;1988;797;358;131;6.5
Least Scene Since;2018;869;589;104;7.4
Sometimes President Allow;1985;712;978;89;6.2
Before Top Recently;1992;57;636;56;8.3
Party Discover Game;1978;475;140;138;1.9
Within Certainly Number;1994;517;357;94;9.4
Paper Year Voice;2000;281;430;65;7.0
Million Spend Card;2008;644;168;76;5.2
You Economic Happy;1987;710;484;126;9.4
Executive Probably Scene;1990;784;342;54;1.2
Well Personal Cut;1970;181;370;52;1.8
Any Environment Exactly;2011;677;636;129;9.3
International Center Husband;1995;683;379;111;5.4
No Fine Lot;2005;553;950;141;7.7
We Fact Defense;2019;481;531;103;2.9
Service Pull Organization;2010;147;256;77;2.4
Knowledge Study Second;1977;17;638;100;2.9
Every Image Opportunity;1988;405;848;84;4.8
Compare Walk Fund;1973;9;20;134;3.2
Perhaps Build Program;2009;313;987;104;4.0
Rather Success Item;1973;829;570;143;8.4
Character Compare So;2011;629;646;71;6.4
Thought Race Peace;2018;655;423;64;4.9
Condition Class Occur;2013;874;443;105;5.4
Gun Quickly Stand;2019;888;886;116;6.0
Everybody About Production;1981;397;412;130;6.7
Then Throw Standard;1981;445;798;71;9.2
Your Look Theory;1996;678;551;114;8.5
Follow Whether Piece;2017;884;930;97;6.0
Process Role Subject;2016;91;17;77;1.8
Pressure Agree Market;1987;260;904;106;7.2
Officer About Small;2001;829;56;107;3.8
National Cup Perform;2008;349;13;66;8.5
Speak Exist Interest;1981;925;552;69;2.6
Discussion What Article;2011;586;528;67;8.4
Wonder Anything Current;1980;294;866;57;8.6
Buy Record Career;2006;655;246;127;6.6
First Writer Center;2016;632;91;82;5.6
White Produce Show;2003;440;917;58;8.4
Long Interview Argue;1987;723;88;106;3.0
Street Step Memory;1985;340;887;97;8.5
Start Artist Similar;2017;879;762;123;3.2
Certain Should Popular;2012;651;283;111;4.7
Morning Dark Great;1988;196;362;78;6.9
Necessary At East;1971;781;948;103;2.3
Have Energy Western;2007;539;617;56;4.8
Reflect Heavy Road;1985;162;415;90;5.8
Another Only Over;1975;423;896;86;3.5
Century Operation Arm;1981;63;781;120;1.4
Than Director Possible;2005;333;763;79;2.7
Become Painting Evening;1983;843;215;141;2.1
Meet Thank Heart;2003;111;426;74;1.3
Position Soon Daughter;2015;849;491;75;1.2
Learn Would Although;1997;712;741;105;8.1
Win Send Former;1989;638;40;130;6.5
Available True Throughout;2009;902;214;96;9.2
Eight News Account;2017;217;770;82;8.9
Top Week Up;2009;411;974;86;6.3
Effort Situation Single;2021;112;864;71;4.8
President Now Start;1971;748;533;73;1.2
Assume Note Say;2003;435;481;137;8.2
Right Before Though;2015;438;596;85;4.0
Play Sport Knowledge;1992;247;966;109;9.2
Activity Leg Hotel;2005;842;274;136;1.9
Care Sign Decision;1977;227;785;107;5.1
Let Hospital Respond;2002;346;782;53;8.3
Billion Contain Reach;2003;814;250;68;5.6
Star Process Order;1990;897;6;72;5.7
Significant At Choice;2016;997;218;76;6.4
Huge Front Main;2000;999;665;76;3.4
Have Size Probably;2012;930;708;108;8.2
Big Idea Brother;1999;774;829;116;2.7
Government Land True;1990;588;863;119;7.9
Describe Play Back;2010;762;228;128;1.7
Turn Try Out;1974;848;102;68;7.5
Field Here Up;2007;325;163;90;8.7
Positive Adult Too;1971;978;894;140;5.5
Say Family Government;2016;177;950;147;7.3
Spend Teacher Stuff;2013;816;813;60;5.5
Upon He He;1997;73;912;62;9.0
Player Room Republican;1976;771;99;146;2.1
Sure Meeting Prove;2007;967;269;96;7.4
Three Place News;1977;492;77;149;2.3
Network You State;2015;427;649;114;3.1
Cause Eye Successful;1991;622;869;95;6.1
Campaign Serve Third;1982;19;393;121;4.6
Thousand Doctor Certainly;1980;875;595;104;4.9
Us Message Kitchen;1986;954;126;109;9.8
Before Everything Rich;2004;177;738;55;1.9
Student Kind Yard;1984;99;846;111;3.6
Dinner Anything Eat;1979;487;160;129;8.2
Professor Any Scene;1985;294;784;68;7.3
Rich Though Glass;1988;884;460;87;8.5
Star Goal Road;1994;713;914;72;4.1
Clear Drop Score;1973;590;694;56;2.3
Nation Along Level;1998;196;505;144;6.9
See Smile Either;1980;100;683;123;5.1
Summer Evidence Until;1971;65;967;132;5.8
Wide People Song;1982;186;658;133;10.0
Contain Future True;1979;193;248;56;4.7
All Side Oil;1984;846;798;103;8.3
Paper Eight Approach;2002;379;941;133;3.0
Visit Few Help;1976;174;96;121;3.3
Of Member Laugh;2002;801;770;77;9.0
Local Ability Describe;2001;360;230;89;1.2
Community Billion Debate;2006;411;742;75;5.4
Coach Care Others;1984;690;671;135;2.1
Idea Dream Hope;2011;293;754;101;1.7
Different Group Democrat;2004;128;605;93;2.6
Little Have A;2008;749;317;124;9.2
Expect Not Measure;2003;516;800;55;5.9
Within Require Later;2010;21;640;126;7.1
Certainly Light The;2022;688;821;89;5.8
Indeed Professional Lot;2010;712;843;123;8.5
Hour Republican Safe;1995;395;233;128;2.3
Performance Expert Election;2017;303;557;55;7.7
Never Environmental Hope;1997;859;455;135;2.9
Leave Beautiful Eat;1973;758;873;66;3.2
Resource Interesting Tv;1999;189;4;61;1.1
Think About Science;1994;586;627;100;2.7
Her Some Popular;1979;362;979;131;3.4
Floor System Be;2009;133;836;95;5.7
It Though Threat;1980;598;923;116;7.8
Sea Their Day;2016;826;894;116;1.2
Decide Remember With;1972;262;488;122;8.7
Imagine Until Determine;1984;551;843;65;4.0
Push Plant Break;1980;349;361;138;1.3
Family Event Hair;2015;771;503;74;1.8
Pull Mean Talk;2002;604;190;70;5.8
Education Official Dream;2014;471;291;114;5.7
Kid During Summer;1971;904;541;111;1.0
Easy Quickly Threat;1972;361;643;121;2.8
Floor Least Question;1994;755;534;127;5.4
Above Morning Interview;1988;716;711;125;7.2
Wear Field Happen;1997;797;156;52;2.9
Accept Single Already;2002;180;489;142;8.1
Far Media Even;1980;152;627;52;1.5
Maybe Somebody Keep;1989;322;450;81;7.8
Trouble Good Year;2021;109;690;75;8.0
Ready Health Then;1998;950;85;68;4.2
Yourself She Energy;1984;7;281;140;5.7
Road Senior Set;2022;836;829;70;1.2
Figure Effort Audience;2003;725;995;140;6.1
Building Fill And;2006;285;463;52;6.9
Put Over View;2010;435;953;132;9.9
You Protect Together;1984;537;569;58;2.0
Major Information Citizen;1972;825;739;59;4.2
Director Fill To;2003;51;38;75;3.4
Respond Tend Training;2003;163;714;56;1.1
Improve Discover Raise;2017;801;159;75;3.7
Body Board Friend;1991;546;17;93;3.0
Vote Physical Size;2014;179;957;79;4.6
Upon Difficult Star;2007;896;839;88;8.0
Television Thought Let;1995;514;854;123;7.5
War Theory More;2000;298;341;96;3.1
Soldier Skill Better;1989;375;656;108;9.6
Over Bed Available;1992;743;474;62;9.8
Itself Impact Employee;1997;916;637;52;1.4
Story Consider Energy;2007;964;439;68;1.2
Explain Much Quality;1973;931;938;97;5.2
End Evening Can;2019;344;830;91;1.7
Science Argue Entire;2009;432;232;122;1.1
Wait Loss Lawyer;2013;867;85;87;6.6
Later Plan Interesting;2002;936;575;58;7.7
Purpose Son Situation;1984;119;763;53;1.1
Decision Up Scene;2004;14;19;142;7.3
Goal Particular Station;2014;76;466;54;2.8
Before Much Marriage;1980;132;470;59;7.9
Religious Natural So;1985;778;979;90;6.5
Behind Middle Thought;1972;715;431;115;1.9
Young Between New;2010;829;763;141;5.0
Leg Simple Collection;2009;889;846;86;9.4
Prevent But Expert;1990;177;651;56;6.5
Some Capital Property;2010;95;305;97;6.6
Throughout Matter Hospital;1976;563;529;73;1.4
Foreign Happy Culture;2018;934;354;128;6.5
Prepare Would Author;2009;413;376;100;1.1
Focus Up Peace;1976;957;595;118;2.0
Amount Official Travel;2004;885;685;117;8.5
Power Those Modern;1997;241;71;103;8.3
Hear Indeed Office;2006;975;112;123;8.5
Defense However Attack;2019;712;237;94;3.6
Window Security Statement;2010;910;311;110;3.5
Model Avoid College;1979;711;348;96;3.5
Perhaps Professional Possible;1985;276;471;55;9.9
Recent Into Tell;1970;948;237;61;2.0
Responsibility War World;1974;389;840;59;6.7
Actually Budget Any;2017;567;276;94;2.8
Around Sing Answer;2005;209;221;101;7.4
Mr Fast Box;1992;395;335;51;7.0
Herself From Character;2010;906;725;114;9.1
Else Trouble Trouble;2007;376;434;103;4.7
Specific Exist Present;1994;87;493;53;7.8
May Little Indeed;1996;397;838;112;8.1
Life Contain Manage;1990;750;379;99;4.8
Close Ball Six;1971;545;236;120;1.3
Those Pay Although;1997;528;870;137;1.7
Late Eat Lead;2012;509;614;142;6.4
These Set Discuss;2010;409;874;101;1.2
Business Statement Half;2010;899;871;143;8.0
Decision Player Study;1990;138;314;145;3.2
I Reflect Network;1973;283;953;130;7.7
Cover Health Board;1995;488;989;50;2.7
Live Exactly Series;2013;702;369;134;8.2
Every Couple Idea;2009;955;156;91;6.5
Statement Itself Teach;1981;91;895;142;9.4
Pressure Stand Agent;2005;872;378;143;2.9
Along Investment Well;2016;764;605;56;9.3
Another Suggest Least;1988;315;549;95;6.6
Sign Former Show;2011;44;752;129;7.7
Task Develop Section;1995;151;634;132;2.2
Big Word Through;1982;986;789;73;6.8
Young Democrat Security;2007;880;767;113;8.8
Economy Yeah Of;2015;805;7;133;7.4
Wear Time Need;1989;761;834;109;3.7
Big Single Well;2006;262;678;103;9.5
Travel Do Top;2017;659;469;79;3.1
Attack Card Follow;1983;851;138;130;8.4
Entire Only Some;1979;207;1;136;2.2
Structure Form Million;2002;300;589;111;8.6
Similar Yet Modern;1994;433;376;132;9.4
Seat From Miss;1991;284;230;144;4.5
Skill Those Under;1975;612;357;95;1.9
Consumer Cover Can;1998;665;100;107;4.5
Window Face Until;2014;164;867;93;8.9
Investment Spend Claim;2014;368;108;93;5.6
Green Each Dog;1995;620;375;57;9.4
Would Win Something;2005;380;986;123;2.8
Attack Against Service;1990;852;809;129;2.5
Yet Policy Few;2004;700;683;51;7.1
Structure Born Partner;1980;542;921;147;5.5
It Away Focus;2013;17;913;138;4.0
Foreign Character Kind;2005;101;854;125;2.7
Create Institution Letter;1972;192;385;80;2.7
Ago Act Hair;1987;331;884;71;5.3
Dark There Television;1978;632;844;88;2.3
Language Field Quickly;1990;239;729;142;2.4
Number Wait Former;2018;36;958;123;2.6
Real Significant Bag;1975;846;591;101;5.9
Body Per Management;1996;783;491;123;2.4
Citizen Two Also;2013;958;51;60;9.7
Serve Note Open;2022;509;211;111;5.2
Maintain Operation Friend;1995;844;637;70;5.6
Out Sign This;1993;316;924;104;2.0
Fund Serious Turn;2006;67;700;149;5.2
Realize Population Ask;2013;183;784;70;3.1
Simple Day Former;1975;931;513;109;6.3
Stage Gun Collection;2017;140;435;108;3.6
Decide Whose Democrat;1971;804;129;72;8.6
Much Strong Also;1989;294;596;80;5.3
Example Enough Almost;1977;23;592;148;10.0
Claim Exactly Outside;1988;192;625;139;7.7
Group Group Miss;1985;333;132;135;3.7
Friend Site Population;2010;884;824;99;6.2
Begin Benefit Hope;1972;746;400;104;6.4
Technology More Use;1973;187;698;129;4.1
Record Administration Character;1971;512;336;87;5.4
Wait Civil Talk;1981;618;932;59;3.8
Involve Music Explain;2016;487;484;133;5.9
Personal Dark Lay;1972;176;75;87;9.6
Design Member Should;1986;307;466;104;8.3
Now Set Argue;1970;945;107;65;4.6
Form Music Expert;1989;103;43;141;7.4
For Matter High;1987;157;979;92;2.6
Not Cause Respond;2000;313;765;75;2.4
I Almost Down;1979;317;829;144;5.4
Form Pay Allow;2005;511;457;136;8.0
Available Main Three;2001;441;218;60;8.1
Within Walk Candidate;1974;396;896;79;4.9
Father Rich Concern;1998;68;957;66;7.9
State Author Ten;1989;325;507;125;2.8
Business Region Behavior;2007;879;49;102;8.2
Size Talk Road;1990;465;981;77;5.9
Difficult Side Picture;1991;607;375;64;2.8
Feeling Tree Left;1986;686;203;130;6.6
Board Later Than;2015;289;631;122;2.1
Month College Understand;1980;476;176;112;9.5
Campaign Drive Blood;2011;641;343;76;9.8
Him Likely Support;2003;210;696;115;3.0
Fight Prove Painting;2007;101;319;52;4.4
Clear South Red;1977;668;388;144;4.5
Scientist Crime Sing;1989;663;228;146;2.5
North Notice Into;2009;882;419;102;3.9
Play Mrs Describe;2007;58;409;65;4.7
Budget Ahead Thank;1981;698;173;86;1.3
Actually Enough Prevent;1997;941;7;61;3.1
Believe Focus Never;1971;700;330;76;6.4
Price Democratic Far;1976;269;813;77;9.2
Information Country Draw;2005;670;662;105;6.0
Treat Should Trade;2007;802;184;144;3.1
Spend News Officer;2002;975;134;96;6.4
Successful Six Trouble;1979;973;223;91;1.9
Could Use Government;1975;272;946;141;6.2
Into Control First;1986;493;408;71;8.4
Range Raise Field;2011;605;777;82;2.6
Front Market Represent;2009;749;835;94;6.5
Herself Interest Might;2004;67;322;79;3.4
Show Out Senior;1981;521;16;54;7.1
Lose Audience Pressure;1970;141;150;122;3.8
Whom Four Population;2013;774;582;102;6.6
Attack Example Property;2009;230;996;114;7.7
Style Body Often;1973;992;227;122;2.4
Material Soldier Smile;2005;600;647;63;3.7
Size Hard Soon;1975;345;733;111;5.7
Citizen Must Industry;2009;679;915;115;2.8
Apply Ask Magazine;1993;542;812;73;9.0
Leg Body Strong;2021;225;220;140;6.2
Run More Compare;1984;930;335;92;5.0
Per Special Money;1984;243;67;51;3.6
Price Word Activity;1986;315;761;123;6.6
Art You The;1998;158;904;100;2.5
Particular Specific Something;2002;427;625;140;8.5
Magazine Tree Main;2021;298;157;115;7.8
Certainly Through Onto;2019;13;290;124;5.3
Four Process Keep;1973;968;41;120;4.7
Parent Front Once;2012;685;62;60;5.1
Work Song Month;2016;87;331;91;3.2
Compare Open Describe;1999;644;764;139;1.5
Form Man Down;1977;855;75;140;3.4
Herself Operation Tv;2010;770;522;136;2.0
Democratic Benefit Even;1984;287;359;86;4.0
Provide Walk Project;1971;707;387;99;8.1
New It Law;1996;215;464;142;1.6
Pass Reality Long;2015;182;258;122;6.7
Car Store Cover;2016;692;920;113;4.0
Majority Dark Between;1980;459;604;64;5.3
Describe War Trouble;1983;406;847;143;8.5
Wide Knowledge Commercial;1982;10;617;143;4.3
She Throw Care;2018;815;932;60;1.5
Involve Group Show;1992;363;56;112;6.2
Most Such Be;1979;381;899;132;9.7
Student Family Through;1993;678;266;116;3.9
Real Instead Follow;1981;458;791;109;6.0
Become Relationship Degree;1999;544;261;135;9.9
Hotel Head When;1983;350;743;95;5.3
Play Buy Table;1970;305;786;70;8.4
Parent Almost Consumer;2020;369;751;56;8.4
Good Big Service;1975;853;345;116;5.6
Growth Window Fear;1984;146;866;140;5.5
Their Today Suddenly;1996;652;633;131;1.5
List Assume Little;2003;553;267;60;6.9
Stop Citizen Front;1981;657;650;130;1.7
Option Side Energy;1978;511;637;67;10.0
Worry Shoulder Full;1996;597;614;83;5.3
Own Society Quality;2014;196;734;83;2.0
Relationship Bed Though;2002;71;3;133;5.6
Hard Suffer Final;1987;333;307;59;9.9
Director Career Security;2009;979;568;144;5.6
Strong Make Why;1982;454;405;61;5.2
Clearly Join Seven;1991;532;371;77;6.2
Cut Various Just;2006;626;148;148;1.7
Any Blood Piece;1994;477;947;99;8.8
Report Dark Trip;1990;805;200;63;5.4
Experience Right Discover;1977;726;508;89;10.0
With As Remember;2021;309;505;61;7.8
Clearly Apply Issue;2021;595;294;109;8.8
Win Guy Movie;1995;459;304;72;5.9
Democrat Player Interview;2007;694;727;126;4.3
Beat Network Year;1982;450;454;101;2.7
Where Should Improve;1971;911;306;82;8.6
Involve Consumer Part;1992;40;113;137;9.5
Manager Too Because;2013;432;121;119;3.5
Surface Contain Final;2007;283;469;127;1.2
Evening Last That;1993;79;668;56;5.5
Sport Carry Threat;2008;641;409;71;5.4
Information Throughout Heavy;2005;149;50;57;4.0
Where Main Financial;1972;924;640;101;6.2
Executive View Tell;2019;84;154;115;6.2
Painting Wrong Market;1980;196;345;133;2.0
Share Option Save;1978;524;367;124;8.3
Claim Right Star;1975;880;461;96;4.8
Really Page Join;1981;598;836;147;4.0
Market Quite Purpose;2008;177;44;56;8.6
Clearly Trip Per;2020;976;330;95;4.9
Term He Cost;2008;703;182;147;3.0
Situation Hold Simple;1981;301;532;98;2.0
Him Matter Along;2010;519;871;144;2.8
Career Important Industry;1992;597;327;122;4.5
Television Lot Tonight;1980;735;669;111;1.4
Black Listen Statement;1973;970;613;121;3.3
Would Top Arrive;1972;99;56;86;5.0
Capital Behavior Friend;2000;345;115;52;2.4
Community Girl Clear;1988;387;933;131;2.6
Perform Surface May;1974;862;794;126;7.3
Rate Real Take;2011;656;28;67;8.4
There Point Cause;1984;668;143;121;4.1
Father Laugh Light;1979;536;77;76;3.6
Certainly Happen Himself;2005;897;12;88;6.2
Guy Financial Data;2013;342;902;50;2.6
Way Great See;1986;50;362;130;8.3
Security Sit Term;2002;537;142;145;8.4
Consumer Purpose Maintain;1988;110;30;74;8.6
Relate Less Seem;1970;801;834;140;7.4
Report American What;2019;515;144;125;5.0
Fish Glass Benefit;2001;458;448;80;5.8
Himself Red Build;1976;85;43;66;7.7
Result What Great;1992;160;213;89;2.7
North General Word;1982;85;335;72;3.6
Card Own Form;2021;564;805;86;7.2
Agreement Indeed Positive;1981;211;93;130;5.7
Family Memory Cost;1973;756;684;52;6.8
Population Involve College;2004;416;569;107;3.7
Exactly Firm Including;1997;79;291;107;3.8
Relationship Lawyer Along;2012;234;707;127;10.0
Result Seat Look;2018;299;767;68;1.3
Cell Step Manager;1977;401;904;59;5.0
Reach Hand Magazine;1971;228;638;82;1.1
Improve Recent Scientist;2021;904;954;88;5.3
Feeling Eye She;2017;705;801;136;2.7
Drug Reach Near;2004;945;987;73;5.1
Finally Recently Team;1981;72;866;93;6.6
Join South Fact;2016;952;964;122;7.3
Begin Design With;2004;568;166;89;7.6
Show Leg Paper;1972;910;803;134;1.0
Morning Especially Base;2000;57;758;142;3.7
Sell While Daughter;1994;791;929;93;9.4
Response Big Open;1977;3;160;90;6.2
Military Majority Never;2010;857;370;99;1.4
Seek Peace Firm;2018;389;161;66;6.2
Against Federal News;1989;838;110;109;7.4
